"compartment","depth","direct"
"surftemp",10.2471408843994,0.0555607080459595
"surftemp",28.7705192565918,0.0390897393226624
"surftemp",14.8892412185669,0.0122234225273132
"surftemp",33.6505966186523,0.00458848476409912
"surftemp",8.11683082580566,0
"surftemp",33.8149299621582,0.00877135992050171
"surftemp",13.989218711853,0.00494211912155151
"surftemp",11.0214347839355,0
"surftemp",11.3903570175171,0.00733691453933716
"surftemp",12.4480409622192,0.0100974440574646
"surftemp",13.9090538024902,0.0241450071334839
"surftemp",11.1174354553223,0.00397992134094238
"surftemp",12.4528303146362,0.0126740336418152
"surftemp",94.1117630004883,0.0357275009155273
"surftemp",12.0359106063843,0.0208373665809631
"surftemp",9.69221687316895,0.0186573266983032
"surftemp",12.8868732452393,0.0121185779571533
"surftemp",14.5699615478516,0.000124216079711914
"surftemp",12.7430334091187,0.000466525554656982
"surftemp",18.5282936096191,0.0163097977638245
"surftemp",8.45619583129883,0.00313186645507812
"surftemp",8.90814685821533,0.0132699012756348
"surftemp",10.1220855712891,0.00661009550094604
"surftemp",9.23698902130127,0.0126117467880249
"surftemp",9.74096965789795,0.0161153078079224
"surftemp",12.9072570800781,0.0283730030059814
"surftemp",48.4328727722168,3.97562980651855e-05
"surftemp",36.3121795654297,0
"surftemp",11.2375965118408,0
"surftemp",14.8188972473145,0.000113785266876221
"surftemp",9.15529155731201,0.0276002287864685
"surftemp",11.8889417648315,0.0473881363868713
"surftemp",13.4995164871216,0.0250456929206848
"surftemp",8.58448791503906,0.00358963012695312
"surftemp",11.7576360702515,0
"surftemp",10.4681844711304,0
"surftemp",11.2517652511597,0
"surftemp",8.65376281738281,0.00959128141403198
"surftemp",13.9216403961182,0.0155125856399536
"surftemp",17.5071353912354,0.0189839601516724
"surftemp",10.5923528671265,0.0156014561653137
"surftemp",6.98928928375244,0.00993680953979492
"surftemp",11.7393999099731,0.019245982170105
"surftemp",11.2403783798218,0.0198377370834351
"surftemp",15.7025537490845,0.01688152551651
"surftemp",24.6647777557373,0.0480008125305176
"surftemp",100.674690246582,0.0289099812507629
"surftemp",11.6988430023193,0.0149635672569275
"surftemp",8.68108749389648,0.00257384777069092
"surftemp",11.7467479705811,0
"surftemp",9.16907596588135,0.00309830904006958
"surftemp",12.782374382019,0
"surftemp",12.3537006378174,0
"surftemp",97.0607376098633,0.00388586521148682
"surftemp",96.8169326782227,0.00465786457061768
"surftemp",31.8551330566406,0.0343132615089417
"surftemp",10.4462585449219,0.017245888710022
"surftemp",8.41827201843262,0.0175763964653015
"surftemp",11.4602737426758,0.0228468775749207
"surftemp",10.0308265686035,0.0144776105880737
"surftemp",8.36499309539795,0.0195329189300537
"surftemp",11.3184442520142,0.0289384126663208
"surftemp",8.02152061462402,0.0264019966125488
"surftemp",14.0571212768555,0.0401169657707214
"surftemp",10.6343202590942,0.0278759002685547
"surftemp",5.8788800239563,0.0170928239822388
"surftemp",4.96218156814575,0.0207122564315796
"surftemp",10.3909788131714,0.0178253054618835
"surftemp",13.6368055343628,0.0455464720726013
"surftemp",11.4072914123535,0.0354087948799133
"surftemp",15.1159286499023,0.0298620462417603
"surftemp",8.53325939178467,0.00130349397659302
"surftemp",11.2703113555908,0
"surftemp",11.7932634353638,0
"surftemp",10.7112855911255,0
"surftemp",13.6185932159424,0.0292177200317383
"surftemp",9.02974128723145,0.0106208920478821
"surftemp",9.15507698059082,0.0150696635246277
"surftemp",13.5919618606567,0.0135946869850159
"surftemp",14.2496385574341,0.0287229418754578
"surftemp",18.5282402038574,0.0267158150672913
"surftemp",10.9929332733154,0.0136365294456482
"surftemp",10.1658687591553,0.0278334021568298
